examNumber,questionNumber,question,reference
17,3,The leader of the opposition appoints senior opposition MPs. They form a group whose role is to challenge the government and put forward alternative policies. What are they called?,The leader of the opposition appoints senior opposition MPs to be ‘shadow ministers’. Their role is to challenge the government and put forward alternative policies. They form the shadow cabinet.
17,4,Which of the following are TWO responsibilities of the MPs?,"MPs responsibilities include: to represent everyone in their constituency, to help to create new laws, to scrutinise and comment on what the government is doing and to debate important national issues."
17,5,Who was the longest serving PM in the 20th century?,"Margaret Thatcher was the first woman Prime Minister of the UK. She was the longest-serving Prime Minister of the 20th century, remaining in office from 1979 until 1990."
17,6,What name is given to the territories which are linked to the UK but not part of it?,There are several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called ‘Crown dependencies’.
17,7,What area did David Hume contribute to during the Enlightenment?,David Hume was a famous philosopher who developed ideas about human nature during the 18th century and that have continued to influence philosophers over the years.
17,8,What proportion of the population died as a result of the Black Death in England?,"As a result of the Black Death, one third of the population of England died and a similar proportion in Scotland and Wales."
17,9,What happened to Charles I after he was in prison?,"Charles I’s army was defeated at the Battles of Marston Moor and Naseby. Charles was held prisoner by the parliamentary army. As he was unwilling to reach any agreement with the Parliament, in 1649 he was executed."
17,10,What are TWO responsibilities of the monarch?,"The monarch does not rule the country but appoints the government, which the people have chosen in a democratic election. The monarch also has regular meetings with the Prime Minister and can advise, warn and encourage, but the decisions on government policies are made by the Prime Minister and cabinet."
17,11,What kind of disaster was the Black Death?,"The Black Death was a disease, probably a form of plague, that came to Britain in 1348."
17,12,What country was in conflict with the UK for trading reasons during the 18th century?,"During the 18th century, trading and settlements overseas sometimes brought Britain into conflict with other countries, particularly France, which was expanding and trading in a similar way in many of the same areas of the world."
17,13,"The Speaker is an MP, he or she represents a constituency and deals with the constituents.",This statement is true.
17,14,"Where is Skara Brae, the best preserved prehistoric village in northern Europe, located?","Skara Brae on Orkney, off the north coast of Scotland, is the best preserved prehistoric village in northern Europe."
17,15,Which of the following plays was written by William Shakespeare?,William Shakespeare’s most famous plays include MacBeth.
17,16,Where was William the Conqueror from?,"William the Conqueror was the Duke of Normandy (now northern France). He defeated Harold, the Saxon king of England, at the Battle of Hastings in 1066."
17,17,How do you call the British who went to war in South Africa with settlers from the Netherlands?,The British went to war in South Africa with settlers from the Netherlands called the Boers. The Boers fought fiercely and the war went on for over three years.
17,18,"In Northern Ireland, up to three specially trained magistrates or a District Judge are required for Youth Court cases.",This statement is true.
17,19,What made Roger Banister famous?,"Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
17,20,Who was invated to invade and rule England in 1688?,"In 1688, important Protestants in England asked William of Orange to invade England and proclaim himself king."
17,21,Who was defeated at the Battle of the Boyne?,William of Orange defeated James II at the Battle of the Boyne in Ireland in 1690.
17,22,What did the Factories Act of 1847 introduce?,The Factories Act of 1847 limited the number of hours that women and children could work to 10 hours per day.
17,23,What name is given to the group of MPs from the opposition?,Opposition MPs form the shadow cabinet and their role is to challenge the government and put forward alternative policies.
17,24,In which of the following matters can the Scottish Parliament legislate?,"The Scottish Parliament can legislate on: civil and criminal law, health, education, planning and additional tax-raising powers."
2,1,What is the Home Secretary responsible for?,"Chancellor of the Exchequer – responsible for the economy Home Secretary – responsible for crime, policing and immigration Foreign Secretary – responsible for managing relationships with foreign countries other ministers (called ‘Secretaries of State’) responsible for subjects such as education, health and defence."
2,2,St Helena is a British overseas territory and it is part of the United Kingdom.,"There are also several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called ‘Crown dependencies’. There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland"
2,3,Several Church of England bishops sit in the House of Lords.,This statement is true.
2,4,"When walking your dog in a public place, you must ensure:",All dogs in public places must wear a collar showing the name and address of the owner.
2,5,Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
2,6,When did Ireland become a republic?,In 1921 a peace treaty was signed and in 1922 Ireland became two countries. The six counties in the north which were mainly Protestant remained part of the UK under the name Northern Ireland. The rest of Ireland became the Irish Free State. It had its own government and became a republic in 1949.
2,7,Where did the first farmers come from?,"The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe."
2,8,Who was an important contributor to the ‘pop art’ movement of the 1960’s?,David Hockney was an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today.
2,9,Who became Prime Minister and was an inspirational leader to the British people during WWII?,Winston Churchill.
2,10,Who led the first invasion of Britain?,"Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
2,11,Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?,"The Anglo-Saxon kingdoms in England united under King Alfred the Great, who defeated the Vikings."
2,12,When was the Magna Carta created?,The Magna Carta was created in 1215.
2,13,"Northern Ireland has its own banknotes, which are valid everywhere in the UK.",This statement is true.
2,14,Which of the following plays was written by William Shakespeare?,William Shakespeare’s most famous plays include A Midsummer Night’s dream.
2,15,"How many members does a jury have in England, Wales and Northern Ireland?","In England, Wales and Northern Ireland a jury has 12 members."
2,16,Which two of the following religious communities celebrate Diwali?,Diwali is celebrated by Hindus and Sikhs.
2,17,What is Good Friday?,Good Friday marks the death of Jesus Christ during the Easter.
2,18,St Patrick’s day is a public holiday in Northern Ireland.,True. Only Scotland and Northern Ireland have their patron saint’s day as an official holiday (although in Scotland not all businesses and offices will close).
2,19,Which was the last successful foreign invasion of England that took place in 1066?,The Norman Conquest was the last successful foreign invasion of England in 1066.
2,20,Where are the Crown Jewels kept?,The Crown Jewels are kept at the Tower of London.
2,21,Which sport can be traced back to the 15th century in Scotland?,The modern game of golf can be traced back to 15th century Scotland.
2,22,Who was the first person in England to print books using a printing press?,William Caxton was the first person in England to print books using a printing press.
2,23,"Which court deals with minor criminal cases in England, Wales and Northern Ireland?","In England, Wales and Northern Ireland, most minor criminal cases are dealt with in a Magistrates’ Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."
2,24,What did the Scottish John Logie Baird develop?,The television was developed by Scotsman John Logie Baird in the 1920s.
3,1,Which of the following is a fundamental principle of British life?,The fundamental principles of British life include: Democracy The rule of law Individual liberty Tolerance of those with different faiths and beliefs Participation in community life.
3,2,Wales has its own established church.,"Churches in the UK: Inside a Catholic Church There is no established Church in Wales or Northern Ireland. Other Protestant Christian groups in the UK are Baptists, Methodists, Presbyterians and Quakers. There are also other denominations of Christianity, the biggest of which is Roman Catholic."
3,3,How is New Year’s Eve called in Scotland?,"In Scotland, the 31st of December (New Year’s Eve) is called Hogmanay."
3,4,Why did Henry VIII establish the church of England?,"To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
3,5,What is the name of the long war that English kings fought with France in the middle ages?,"English kings fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years)."
3,6,Who was supported by clansmen from the Scottish highlands and raised and army in 1745?,"In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II. Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised and army."
3,7,"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?","If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify your local police force."
3,8,It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.,"False. The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore, it is optional."
3,9,What is the name of the tour guides that tell visitors stories about the Tower of London’s history?,"Tours are given at the Tower of London by the Yeoman Warders, also known as Beefeaters, who tell visitors about the building’s history."
3,10,"Which two countries developed the Concorde, the world’s only supersonic commercial airliner?","Britain and France developed the world’s only supersonic commercial airliner, Concorde."
3,11,Where is Snowdonia located?,Snowdonia is in Wales.
3,12,Who wrote Sherlock Holmes?,Sir Arthur Conan Doyle is the author of Sherlock Holmes.
3,13,Which country was invaded by Germany in 1939?,Germany invaded Poland in 1939.
3,14,Who is the patron Saint of Wales?,The patron Saint of Wales is St David.
3,15,Lake District is the largest national park of England.,This statement is true.
3,16,What is the name of the area in London where famous theatres are located?,"London’s west end, also known as ‘Theatreland’, is particularly well known for its theatres."
3,17,Which two of the following are key roles of school governors?,"Governors and school boards have an important part to play in raising school standards. They have three key roles: setting the strategic direction of the school, ensuring accountability and monitoring and evaluating school performance."
3,18,What led the American colonies to want their independence from Britain?,The British government wanted to tax the colonies.
3,19,When did the Black Death take place?,In 1348 (Middle Ages) the Black Death came to Britain.
3,20,"Who was the leader of the suffragettes, the group that campaigned for women’s rights to vote?",Emmeline Pankhurst was the leader of the suffragettes.
3,21,Cardiff is the capital city of which country?,The capital city of Wales is Cardiff.
3,22,During the Great Depression in the 1930s which industry was badly affected?,During the ‘Great Depression’ in the 1930s the traditional heavy industries such as shipbuilding were badly affected.
3,23,Who was the first man in the world to run 1 mile in under 4 minutes?,"Sir Roger Bannister was the first man in the world to run a mile in under four minutes, in 1954."
3,24,"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?","Eid al-Fitr celebrates the end of Ramadan, when Muslims have fasted for a month."
4,1,What was the last battle between Great Britain and France?,"In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."
4,2,Which flower is associated with Wales?,The flower associated with Wales is the daffodil.
4,3,"During the reign of Charles II parts of London were destroyed, what was the cause of this destruction?","During Charles II’s reign, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral."
4,4,How often are general elections held in the UK?,"MPs are elected at a General Election, which is held at least every five years."
4,5,"Scotland has its own banknotes, which are valid everywhere in the UK.","Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK. However, shops and businesses do not have to accept them."
4,6,"What charity works to preserve important buildings, coastline and countryside in the UK?","The National Trust is a charity that works to preserve important buildings, coastline and countryside in the UK."
4,7,"Great Britain refers only to England, Wales and Scotland.",This statement is true.
4,8,Who was the tribal leader who fought against the Romans?,"One of the tribal leaders who fought against the Romans was Boudicca, the queen of the Iceni in what is now eastern England."
4,9,Who was voted the greatest Briton of all time in 2002?,"Winston Churchill remains a much-admired figure to this day, and in 2002 was voted the greatest Briton of all time by the public."
4,10,Which two houses form the UK Parliament?,The UK Parliament is formed of the House of Commons and the House of Lords.
4,11,When did women get the right to vote at the same age as men?,"In 1928, women were given the right to vote at the age of 21, the same as men."
4,12,Who is the head of the Church of England?,The monarch is the head of the Church of England.
4,13,What sort of event is the Grand National?,The Grand National is a horse racing event.
4,14,What type of literature are the Canterbury Tales?,Geoffrey Chaucer wrote a series of poems in English about a group of people going to Canterbury on a pilgrimage. This collection of poems is called The Canterbury Tales.
4,15,When is Christmas Day?,Christmas Day is celebrated on the 25th of December.
4,16,Who supported King Charles I during the Civil War?,During the civil war between the king and Parliament the country split into those who supported the king (the Cavaliers) and those who supported Parliament (the Roundheads).
4,17,What battle is commemorated in the Bayeux Tapestry?,"The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux tapestry."
4,18,"Where was Anne Boleyn, the wife of Henry VIII, executed?",Anne Boleyn was unpopular in the country and was accused of taking lovers. She was executed at the Tower of London.
4,19,Racial crime and smoking in public places are examples of:,Racial crime and smoking in public places are examples of criminal offences.
4,20,What type of character was played by Charlie Chaplin?,Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood.
4,21,You have to be at least 21 years old to stand as MP.,"This statement is false. Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties. These are the Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."
4,22,Who developed the radar?,Sir Robert Watson-Watt developed the radar.
4,23,Where is the official home of the Prime Minister?,The official home of the Prime Minister is 10 Downing Street.
4,24,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?","By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
5,1,When does Easter take place?,Easter takes place in March or April.
5,2,Which of the following is not a valid UK coin?,There are no 25p coins in the UK currency.
5,3,Where is the Eden Project located?,"The Eden Project is located in Cornwall, in the south west of England."
5,4,St Helena and the Falkland Islands are part of Great Britain.,"There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not part of it."
5,5,Which two of the following are fundamental principles of British life?,"The fundamental principles of British life include: democracy, the rule of law, individual liberty, tolerance of those with different faiths and beliefs and participation in community life."
5,6,Where should you register if you want to become part of a jury?,"People on the electoral register are randomly selected to serve on a jury. Therefore, if you want to be selected to form part of a jury you have to be on the electoral register and be between 18 to 70 years old."
5,7,What sort of church is the Church of Scotland?,"In Scotland, the national Church is the Church of Scotland, which is a Presbyterian Church."
5,8,Where does golf come from?,The modern game of golf can be traced back to 15th century Scotland.
5,9,When do the television and newspapers have stories that are jokes until midday?,"On April Fool’s Day, the 1st of April the television and newspapers often have stories that are April Fool jokes."
5,10,What king was defeated by Oliver Cromwell during the Civil War and hid in an oak tree before escaping to Europe?,The correct answer is Charles II.
5,11,Who was the father of Queen Elizabeth I?,The father of Queen Elizabeth I was Henry VIII.
5,12,Complaints against the police can only be made by writing to the Police Complaints Commissioner.,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
5,13,Who is the patron Saint of Northern Ireland?,The patron Saint of Northern Ireland is St Patrick.
5,14,"What is the name of the period when new ideas about politics, philosophy and science were developed?","During the 18th century, new ideas about politics, philosophy and science were developed. This is often called ‘the Enlightenment’."
5,15,Which of the following statements is TRUE:,"Mary Stuart (‘Mary, Queen of Scots’) was a Catholic."
5,16,Which of the following is an example of civil law?,Discrimination in the workplace is an example of civil law.
5,17,In which battle did Admiral Nelson die?,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar and was killed in the battle.
5,18,"William of Orange was asked by Protestants to invade England and proclaim himself king. But, when William reached England, there was no resistance and he took over the throne. This event was later Known as:","William of Orange was asked by Protestants to invade England and proclaim himself king. When William reached England, there was no resistance and he took over the throne. This event was later called the ‘Glorious Revolution’."
5,19,What sort of charity is ‘Friends of the Earth’?,Friends of the Earth is an environmental charity.
5,20,If a husband forces his wife to have sex he can be charged with rape.,This statement is true.
5,21,In which country of the British Empire did the Boer War (1899-1902) take place?,The Boer War of 1899 to 1902 took place in South Africa with settlers from the Netherlands called the Boers.
5,22,Which of the following actions is known as “canvassing”?,"Members of political parties persuade people to vote for their candidates – for instance, by handing out leaflets in the street or by knocking on people’s doors and asking for their support. This is called ‘canvassing’."
5,23,Which novel written by JRR Tolkien was voted the country’s best-loved novel in 2003?,"In 2003, the Lord of the Rings by JRR Tolkien was voted the country’s best-loved novel."
5,24,When did Germany invade Poland?,Germany invaded Poland in 1939.
6,1,As a British citizen what are your responsibilities (choose two answers)?,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
6,2,Who made the first coins to be minted in Britain?,"The people of the Iron Age made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings. This marks the beginnings of British history."
6,3,Who built the Tower of London?,William the Conqueror.
6,4,"There are 15 national parks in England, Wales and Scotland. What are national parks?","National Parks are areas of protected countryside that everyone can visit, and where people live, work and look after the landscape."
6,5,Northern Ireland has its own established church.,False. There is no established Church in Wales or Northern Ireland.
6,6,Which three territories form Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
6,7,How often are ‘Prime Minister’s Questions’ held in the parliament?,Prime Minister’s Questions takes place every week while Parliament is sitting.
6,8,Which king was executed in 1649?,The correct answer is Charles I.
6,9,Where was William Shakespeare born?,"Shakespeare was born in Stratford-upon-Avon, England."
6,10,Which two of the following are famous British Paralympians?,Baroness Tanni Grey-Thompson and Ellie Simmonds are the correct answers.
6,11,Who was reigning in England when English settlers first began to colonise the eastern coast of America?,"In Elizabeth I’s time, English settlers first began to colonise the eastern coast of America."
6,12,Scotland and Wales use a system called ‘individual registration’ where all those entitled to vote must complete their own registration form.,False. Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.
6,13,On what day is the birth of Jesus Christ celebrated?,"Christmas Day, 25th of December, celebrates the birth of Jesus Christ."
6,14,"What sort of battle was the ‘Battle of Britain’, fought between Germany and Britain in the summer of 1940?",‘The Battle of Britain’ was a crucial aerial battle fought between Germany and Britain in the summer of 1940.
6,15,Where is Swansea located?,Swansea it is located in Wales.
6,16,Which two political parties formed a coalition in 2010?,"In May 2010 the Conservative and Liberal Democrat parties formed a coalition and the leader of the Conservative Party, David Cameron, became Prime Minister."
6,17,Who established the Church of England?,The correct answer is Henry VIII.
6,18,"In 1348, one third of the population in England, Wales and Scotland died as a result of which disease?","In 1348, a disease, probably a form of plague, came to Britain. This was known as the Black Death. One third of the population of England died and a similar proportion in Scotland and Wales."
6,19,Haggis is a traditional food from which area?,Haggis is a traditional food from Scotland.
6,20,Which court deals with minor criminal offences in Scotland?,"In Scotland, minor criminal offences go to a Justice of the Peace Court."
6,21,Which two of the following records give us information about England during the reign of William I?,The Domesday Book and the Bayeux Tapestry.
6,22,"In 1913, the British government promised ‘Home Rule’ for Ireland, why were changes in Ireland delayed until 1921?",The outbreak of the First World War led the British government to postpone any changes in Ireland.
6,23,Which of the following statements is true:,Elizabeth I was a Protestant and she succeeded in finding a balance between the views of the Catholics and the more extreme Protestants.
6,24,Which two documents do you need to apply for a National Insurance number?,Incorrect To apply for a National Insurance number you need documents that prove your identity and that you have permission to work in the UK.
7,1,"As a British citizen, you should:",As a British citizen you should respect and obey the law and look after the area in which you live and the environment are the correct answers.
7,2,When is Halloween celebrated?,Halloween is celebrated on the 31st of October.
7,3,The Bill of Rights in 1689 gave women the right to vote.,"False. The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
7,4,What is the name of the most famous cricket competition played between England and Australia?,"The most famous cricket competition is the Ashes, which is a series of Test matches played between England and Australia."
7,5,What was the biggest source of employment during the 18th century?,"During the 18th century, manufacturing jobs became the main source of employment in Britain."
7,6,"In 1314 the Scottish, led by Robert the Bruce, defeated the English at the battle of Bannockburn, and Scotland remained unconquered by the English.",This statement is true.
7,7,Which of the following is an example of criminal offence?,Smoking in public places. It is against the law to smoke tobacco products in nearly every enclosed public place in the UK. There are signs displayed to tell you where you cannot smoke.
7,8,Which Scottish clan was killed for not taking the oath?,The MacDonalds of Glencoe.
7,9,Which two issues can the devolved administrations pass laws on?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as health and education, are controlled by the devolved administrations."
7,10,The assassination of the Archduke Franz Ferdinand of Austria in 1914 led to which of the following wars?,"On 28 June 1914, Archduke Franz Ferdinand of Austria was assassinated. This set off a chain of events leading to the First World War (1914-18)."
7,11,What is the capital city of Scotland?,The capital city of Scotland is Edinburgh.
7,12,In 1833 the Emancipation Act abolished slavery throughout the British Empire.,This statement is true.
7,13,What is the name of the process by which many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle?,A process began which became known as the ‘Highland Clearances’. Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle.
7,14,The Falkland Islands are a British overseas territory and are part of the United Kingdom.,The Falkland Islands are a British overseas territory. They are also linked to the UK but are not part of it.
7,15,Which two of the following are Civil War Battles?,The Battles of Marston Moor and Naseby.
7,16,What was the name of the activist group who fought for the women’s right to vote?,"In the late 19th and early 20th centuries, an increasing number of women campaigned and demonstrated for greater rights and, in particular, the right to vote. They formed the women’s suffrage movement and became known as the ‘suffragettes’."
7,17,What UK landmark was voted as Britain’s favourite view in 2007?,"In 2007, television viewers voted Wastwater (Lake District) as Britain’s favourite view."
7,18,Who were the first people to live in Britain in what we call the Stone Age?,The first people to live in Britain were hunter-gatherers.
7,19,What is the name of the movement against the authority of the Pope and the ideas of the Catholic Church that took place during the reign of Henry VIII?,The correct answer is the Reformation.
7,20,What do you need to do to apply for a National Insurance Number?,"If you have permission to work in the UK, you will need to telephone the Department for Work and Pensions (DWP) to arrange to get a National Insurance number."
7,21,Which of the following is a major horse-racing event in England?,"Famous horse-racing events include: Royal Ascot , a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."
7,22,How many members form a jury in Scotland?,In Scotland a jury has 15 members.
7,23,What is known as Lent?,The 40 days before Easter are known as Lent.
7,24,When was the last successful foreign invasion of England?,The Norman Conquest was the last successful foreign invasion of England in 1066.
8,1,World War II started as a result of Germany invading which country?,The Second World War started when Hitler invaded Poland in 1939. Britain and France declared war in order to stop his aggression.
8,2,Which flower is associated with Scotland?,The flower associated with Scotland is the thistle.
8,3,Police complaints can only be made by writing to the Chief Constable of the police force involved.,"Anyone can make a complaint about the police by going to a police station and writing to the Chief Constable of the police force involved. Complaints can also be made to an independent body: the Independent Police Complaints Commission in England and Wales, the Police Complaints Commissioner for Scotland or the Police Ombudsman for Northern Ireland."
8,4,Which of the following is a responsibility of the Home Secretary?,"The Home Secretary is responsible for crime, policing and immigration."
8,5,When is St David’s day celebrated?,"St David’s day, patron of Wales, is celebrated on the 1st of March."
8,6,"What happened to ‘Mary, Queen of Scots’ after she spent 20 years in prison?","Mary was eventually executed, accused of plotting against Elizabeth I."
8,7,What did Francis Crick discover?,Francis Crick discovered the structure of the DNA molecule.
8,8,"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK.",This statement is true.
8,9,"How many national parks are there in England, Wales and Scotland?","There are 15 national parks in England, Wales and Scotland."
8,10,Is Northern Ireland part of Great Britain?,"‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."
8,11,"If you are a dog owner, which two things should your dog’s collar have when you go out for a walk?",All dogs in public places must wear a collar showing the name and address of the owner.
8,12,What day relates to the death of Jesus Christ?,Easter takes place in March or April. It marks the death of Jesus Christ on Good Friday and his rising from the dead on Easter Sunday.
8,13,A responsibility of the MPs is to represent everyone in their _______.,A responsibility of the MPs is to represent everyone in their constituency.
8,14,What was achieved with the Magna Carta?,"The Magna Carta established the idea that even the king was subject to the law. It protected the rights of the nobility and restricted the king’s power to collect taxes or to make and change laws. In future, the king would need to involve his noblemen in decisions."
8,15,Female genital mutilation (FGM) or taking a girl or woman abroad for FGM is illegal in the UK and it is a criminal offence.,This statement is true.
8,16,What year were women given the right to vote?,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War."
8,17,Which two of the following are British overseas territories?,"There are several British overseas territories, such as St Helena and the Falkland Islands. They are linked to the UK but are not part of it."
8,18,Who did the English defeat in 1588?,In 1588 the English defeated the Spanish Armada (a large fleet of ships).
8,19,Who designed the Cenotaph?,"Sir Edwin Lutyens was responsible for designing many war memorials throughout the world, including the Cenotaph in Whitehall."
8,20,How often are the members of the Welsh government elected?,There are 60 members of the Welsh government or members of the Senedd (MSs) and elections are held every four years using a form of proportional representation.
8,21,During which period did the Beatles become popular and social laws were liberalised?,"The decade of the 1960s was a period of significant social change. It was known as the ‘swinging sixties’. There was growth in British fashion, cinema and popular music. Two well-known pop music groups at the time were The Beatles and The Rolling Stones. It was also a time when social laws were liberalised, for example in relation to divorce and to abortion in England, Wales and Scotland. The position of women in the workplace also improved."
8,22,The Man Booker Prize is awarded in which of the following categories?,"The Man Booker Prize for Fiction is awarded annually for the best fiction novel (literature) written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."
8,23,What sort of election takes place when a member of the Parliament (MP) dies or resigns?,"If an MP dies or resigns, there will be a fresh election, called a by-election, in his or her constituency."
8,24,What is the Turner Prize?,The Turner Prize was established in 1984 and celebrates contemporary art. The Turner Prize is recognised as one of the most prestigious visual art awards in Europe.
9,1,Which flower is associated with Northern Ireland?,The flower associated with Northern Ireland is the shamrock.
9,2,The last battle between Britain and France was the battle of Waterloo.,This statement is true.
9,3,£100 is the highest value note in circulation in the UK.,This statement is false.
9,4,Where is the Lake District National Park located?,Lake District is in England.
9,5,Which two responsibilities will you have as a British citizen?,"If you wish to be a permanent resident or citizen of the UK, you should: respect and obey the law, look after yourself and your family, respect the rights of others, including their right to their own opinions, treat others with fairness and look after the area in which you live and the environment."
9,6,Who was born in Stratford-upon-Avon?,"William Shakespeare was born in Stratford-upon-Avon, England."
9,7,Why is 1928 an important year in women’s voting history?,"Women were given the right to vote at the age of 21, the same as men."
9,8,What does Hogmanay refer to?,"In Scotland, the 31st of December (New Year’s Eve) is called Hogmanay."
9,9,What is the capital city of Northern Ireland?,The capital city of Northern Ireland is Belfast.
9,10,Which of the following wars took place between 1899 and 1902 in South Africa?,The Boer War.
9,11,Northern Ireland uses a system called ‘individual registration’ and all those entitled to vote must complete their own registration form.,This statement is True.
9,12,Which two of the following policies are not controlled by the devolved administrations?,"Policy and laws governing defence, foreign affairs, immigration, taxation and social security all remain under central UK government control. However, many other public services, such as education, are controlled by the devolved administrations."
9,13,"How old do citizens of the UK, the Irish Republic or the Commonwealth have to be to stand for public office?","Most citizens of the UK, the Irish republic or the Commonwealth aged 18 or over can stand for public office. There are some exceptions, including: members of the armed forces, civil servants and people found guilty of certain criminal offences."
9,14,How did the Government promote policies of free trade during the Victorian Age?,"During Victorian times, the government began to promote policies of free trade, abolishing a number of taxes on imported goods. One example of this was the repealing of the Corn Laws in 1846. These had prevented the import of cheap grain. The reforms helped the development of the British industry, because raw materials could now be imported cheaply."
9,15,Who was Admiral Nelson?,Admiral Nelson was in charge of the British fleet at the Battle of Trafalgar against the Spanish fleet and was killed in the battle.
9,16,"During the Middle Ages, who were the serfs?",Serfs were peasants who had a small area of their lord’s land where they could grow food.
9,17,Which invention lead to the rapid development of the industry in Britain during the 18th and 19th centuries?,The Industrial Revolution was the rapid development of industry in Britain in the 18th and 19th centuries. Britain was the first country to industrialise on a large scale. It happened because of the development of machinery and the use of steam power.
9,18,MPs can only be contacted by post.,"You can contact MPs by letter or telephone at their constituency office, or at their office in the House of Commons. In addition, many MPs, Assembly members, MSPs and MEPs hold regular local ‘surgeries’, where constituents can go in person to talk about issues that are of concern to them."
9,19,What movement challenged the authority of the Pope?,The Reformation was a movement against the authority of the Pope and the ideas and practices of the Roman Catholic Church.
9,20,What English King introduced the Domesday Book?,"William the Conqueror sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book."
9,21,What did ‘the Butler Act’  introduce in 1944?,"Richard Austen Butler became a Conservative MP in 1923 and held several positions before becoming responsible for education in 1941. In this role, he oversaw the introduction of the Education Act 1944 (often called ‘The Butler Act’), which introduced free secondary education in England and Wales."
9,22,What is the small claims procedure?,The small claims procedure is an informal way of helping people to settle minor disputes without spending a lot of time and money using a lawyer.
9,23,What building was constructed in Hyde Park to hold the Great Exhibition of 1851?,"In 1851, the Great Exhibition opened in Hyde Park in the Crystal Palace, a huge building made of steel and glass. Exhibits ranged from huge machines to handmade goods."
9,24,Who was Florence Nightingale?,Florence Nightingale was a nurse. She is often regarded as the founder of modern nursing.
18,1,What are Members of Parliament (MPs) called if they do not represent any of the main political parties,"There are a few MPs who do not represent any of the main political parties. They are called ‘independents’ and usually represent an issue important to their
constituency. "
